iter	RMSE
208	694323.0041
209	693385.1893
210	692880.5704
211	691388.6225
212	690481.6999
213	689708.4297
214	688905.6316
215	688429.6695
216	687676.3478
217	687128.9323
218	686059.5741
219	685156.2811
220	684950.7275
221	684189.1839
222	683531.3059
223	683254.4718
224	681557.4411
225	680508.8348
226	680385.0066
227	679695.0062
228	679275.6557
229	678126.6436
230	676786.3779
231	676645.0053
232	675136.7411
233	674743.0744
234	674571.185
235	673975.4174
236	673540.0293
237	671134.8896
238	670249.8654
239	668096.1412
240	667973.4673
241	667609.1176
242	666553.3299
243	666065.9261
244	664977.4655
245	662879.3386
246	661906.2223
247	661033.9118
248	660895.2569
249	658605.3108
250	657271.3553
251	655006.4814
252	654872.6537
253	654430.4651
254	653054.876
255	652176.7528
256	651640.011
257	650924.7858
258	649550.9022
259	649394.0709
260	649227.9188
261	648966.0821
262	648349.0525
263	647037.5145
264	645452.6858
265	644664.5187
266	644437.5461
267	642450.2648
268	642308.6927
269	641891.4417
270	641486.1615
271	638810.146
272	638158.5173
273	636508.8342
274	635361.5182
275	634873.5534
276	634128.2359
277	632726.0224
278	631362.2813
279	630740.5821
280	630136.6604
281	629759.2275
282	628407.8439
283	626575.4744
284	625456.8779
285	623304.9013
286	621655.8905
287	620012.2367
288	619559.7086
289	619426.6841
290	618066.825
291	617583.0903
292	616930.7675
293	616473.5374
294	616129.0811
295	616003.0483
296	614683.6811
297	613996.8746
298	613004.4092
299	612095.5462
300	610640.5509
301	608274.9071
302	606568.4192
303	604803.8709
304	604543.9581
305	604440.6881
306	604134.7209
307	603074.7104
308	602915.9753
309	602817.1114
310	602657.0616
311	600686.3987
312	600018.4786
313	599923.2166
314	599640.1102
315	599394.8574
316	599033.7327
317	598932.6827
318	598359.3536
319	597968.4661
320	597737.6331
321	596746.6805
322	596510.5824
323	594955.5546
324	594868.7903
325	593699.2461
326	591847.7033
327	591060.4486
328	590727.2388
329	589843.2722
330	588853.839
331	588352.2866
332	587336.8265
333	586128.7143
334	584748.6059
335	583806.4258
336	582992.9527
337	582302.9512
338	581607.2247
339	581204.1436
340	581117.9899
341	580322.1432
342	578308.862
343	577361.6495
344	576159.2571
345	575320.0359
346	574710.2113
347	574626.12
348	573160.4718
349	571999.7486
350	571917.8874
351	571149.039
352	570567.2292
353	570100.0136
354	568716.933
355	567401.1713
356	566555.1627
357	565010.9584
358	563207.0445
359	562913.3545
360	562470.2664
361	561484.7713
362	561057.8528
363	560005.2879
364	559931.5301
365	559572.1404
366	559296.7878
367	557962.8752
368	557348.5573
369	556547.2048
370	556198.7975
371	556008.1259
372	555600.965
373	554032.6766
374	552632.2535
375	552563.8485
376	551874.9756
377	551116.0233
378	550821.6303
379	549171.9569
380	548719.9693
381	548133.9332
382	547786.4427
383	547715.5875
384	547193.4925
385	545842.9015
386	545273.2798
387	544703.6272
388	544469.7419
389	544395.6102
390	543782.4963
391	543165.4664
392	542874.213
393	542359.1146
394	541841.0165
395	541627.9625
396	541316.2512
397	541076.8255
398	540452.862
399	539700.681
400	539284.5764
401	537875.2974
402	537807.808
403	537574.9829
404	536843.9546
405	535946.4418
406	535884.6358
407	534927.0671
408	534189.0753
409	532994.6855
410	532366.8405
411	531928.4476
412	531165.8666
413	530422.2423
414	529535.1294
415	528178.2774
416	527899.7493
417	527839.0621
418	527155.3344
419	526649.787
420	525251.4527
421	524037.2964
422	522882.2419
423	522005.601
424	521193.7966
425	520062.9976
426	519728.1803
427	518980.6128
428	518440.6806
429	518386.2592
430	517849.6312
431	517588.9211
432	517410.9465
433	516887.0036
434	516832.3729
435	515877.773
436	515500.4843
437	514422.9666
438	513430.7623
439	513375.8821
440	513182.149
441	512601.6258
442	512547.8261
443	511590.4382
444	511379.0532
445	511147.1496
446	510482.4033
447	509295.1002
448	508016.1218
449	507964.0284
450	507408.9768
451	506898.14
452	506478.6076
453	505688.9044
454	505501.1879
455	504788.8133
456	504739.8466
457	503922.4154
458	503220.6045
459	502643.122
460	502266.2644
461	502072.7252
462	502026.0998
463	501500.679
464	501110.4881
465	500541.8388
466	500196.3061
467	499872.9131
468	499683.1983
469	499646.8578
470	499205.6729
471	498935.3255
472	498572.8291
473	498534.1384
474	498491.867
475	497932.1514
476	497746.8971
477	497705.4661
478	497192.2237
479	496191.4224
480	495245.0982
481	495205.7691
482	495170.7094
483	495007.7907
484	493861.6564
485	493432.0738
486	493233.2045
487	493047.8158
488	492781.6786
489	492560.3261
490	492523.7717
491	491881.8363
492	491843.2379
493	491250.4449
494	491007.404
495	490780.8484
496	490117.0084
497	489366.8019
498	489038.9747
499	489001.9915
500	488584.2632
501	488437.0839
502	488402.2439
503	487757.0903
504	487331.5015
505	486839.5057
506	486667.083
507	486558.3498
508	486522.3345
509	486501.6323
510	485941.9286
511	485270.7829
512	485241.6636
513	484935.2609
514	484690.4276
515	484656.4582
516	483426.8599
517	482641.0471
518	481583.2449
519	481415.3756
520	480898.3413
521	480699.4169
522	480409.1659
523	479330.8581
524	478869.7842
525	478848.0068
526	478821.9792
527	478198.1157
528	477806.82
529	477598.6163
530	477346.0391
531	476587.0227
532	476276.3928
533	475508.407
534	474741.1044
535	473869.6295
536	473310.0456
537	473157.0669
538	472998.3366
539	472895.8393
540	472743.3094
541	472063.6091
542	472044.9127
543	471980.3005
544	471096.2538
545	471066.509
546	470653.4973
547	470629.2263
548	470164.4188
549	470136.656
550	469847.2057
551	469608.099
552	469368.7412
553	469146.2086
554	469046.9907
555	468374.7284
556	467509.242
557	467368.6977
558	466707.706
559	466294.0169
560	465534.6842
561	465335.7444
562	464892.0605
563	464659.7796
564	464392.7137
565	464057.455
566	463737.8407
567	463530.2415
568	463273.5665
569	463103.7095
570	463075.3566
571	462740.2431
572	462309.7614
573	461681.3176
574	461083.5159
575	461059.6805
576	460767.2445
577	460186.0927
578	460170.17
579	459935.5107
580	459459.9474
581	459435.7819
582	459397.7665
583	459060.1216
584	458573.5632
585	458235.1988
586	458217.1034
587	457995.905
588	457425.4941
589	457405.4967
590	456741.0295
591	456338.9287
592	456173.6654
593	456150.29
594	455968.3399
595	455468.7762
596	455302.6822
597	455172.3187
598	454811.2088
599	454010.2426
600	453654.3701
601	453240.3335
602	452621.6784
603	452162.6168
604	451326.9813
605	451066.1162
606	450957.5736
607	450745.2063
608	450465.9428
609	450013.6862
610	449891.6462
611	449800.2233
612	449268.8049
613	449245.7276
614	449042.8629
615	448185.5341
616	448168.9662
617	448145.0444
618	447153.3863
619	446681.3814
620	446153.4572
621	445905.5196
622	445466.406
623	445274.4816
624	444641.6377
625	444043.8902
626	442912.3717
627	442513.73
628	442288.6429
629	442003.9158
630	441896.9372
631	441770.9676
632	441319.6316
633	440764.6439
634	439698.1902
635	439477.2386
636	439184.7423
637	439079.1512
638	438349.0659
639	438021.8309
640	437289.0049
641	436992.7872
642	436779.6612
643	436752.9955
644	436573.9504
645	436556.117
646	436479.0428
647	436465.4806
648	436068.17
649	435824.8339
650	435612.1435
651	434782.8222
652	434323.6078
653	434134.0537
654	433797.0357
655	433550.264
656	432862.4136
657	432393.0261
658	432037.8662
659	431956.4665
660	431847.0193
661	431831.6047
662	431671.7052
663	431426.2233
664	431407.378
665	431150.5689
666	430827.8044
667	430391.8446
668	430060.5056
669	429473.4313
670	428981.6171
671	428901.045
672	428466.0906
673	428247.057
674	427907.9817
675	427105.9402
676	427092.5837
677	426823.5572
678	426810.4415
679	426143.1134
680	426122.9859
681	426107.4705
682	425537.9026
683	425450.0696
684	425362.4564
685	425186.1898
686	424847.6861
687	424456.3659
688	424321.7925
689	423863.1856
690	423336.1132
691	422838.4734
692	422583.059
693	422012.4912
694	421594.4257
695	421349.7007
696	421130.944
697	420717.9987
698	420152.444
699	419810.8131
700	419327.0451
701	419163.6889
702	419146.9228
703	418789.0566
704	418231.7997
705	418004.116
706	417704.6335
707	417366.2708
708	416831.1328
709	416814.7406
710	416803.1002
711	416649.8259
712	416322.0857
713	416216.6104
714	416036.1003
715	415715.9236
716	415537.4517
717	415317.1756
718	414817.8001
719	414671.9503
720	414328.5156
721	414197.9507
722	413321.2928
723	413202.0414
724	413191.9541
725	412797.1568
726	412783.3018
727	412241.6165
728	411822.1784
729	411553.7006
730	411060.9405
731	410856.9733
732	410780.7291
733	410264.2118
734	410166.4262
735	410064.2144
736	410054.1684
737	410032.5515
738	409760.6061
739	409672.6699
740	408995.9358
741	408331.6649
742	408045.494
743	407582.0709
744	407331.0964
745	406947.1428
746	406605.2727
747	406415.0023
748	405978.8461
749	405874.7236
750	405023.8742
751	404687.7146
752	404599.1311
753	404567.9958
754	404515.6464
755	404028.0698
756	404015.834
757	403869.4016
758	403648.4895
759	403419.847
760	403336.527
761	403141.994
762	402748.2938
763	402556.4099
764	402537.6173
765	402363.2006
766	401837.4109
767	401746.7503
768	401733.8314
769	401412.3394
770	401371.3395
771	401281.4613
772	401095.6337
773	401084.3296
774	400956.5719
775	400868.1777
776	400794.7383
777	400775.2883
778	400517.1429
779	400392.9289
780	400306.7394
781	400297.9682
782	400127.7137
783	399648.8389
784	399581.1541
785	399409.0083
786	399393.6193
787	399153.0615
788	399143.2784
789	398761.4331
790	398419.3658
791	398217.5971
792	397758.6022
793	397553.1348
794	397384.6038
795	396951.0871
796	396757.1689
797	396705.2812
798	396115.122
799	395994.8801
800	395932.5668
801	395742.7791
802	395575.2748
803	395386.8924
804	395306.6538
805	395163.0213
806	394929.9714
807	394704.8155
808	394413.5512
809	393886.5426
810	393827.076
811	393656.8674
812	393308.1593
813	392834.8471
814	391982.8107
815	391501.1596
816	391375.3978
817	390868.7818
818	390563.0377
819	390278.2641
820	390119.723
821	389706.7821
822	389659.2997
823	389272.7541
824	389093.0761
825	388804.0052
826	388261.207
827	388189.4006
828	387956.8697
829	387780.1314
830	387544.998
831	387117.5661
832	386885.6577
833	386800.1808
834	386165.474
835	385958.7264
836	385777.8019
837	385766.0983
838	385563.5001
839	385385.3176
840	385359.3466
841	385350.1526
842	385112.9874
843	384879.9616
844	384827.2062
845	384424.4921
846	384355.0001
847	383823.3549
848	383724.1777
849	383400.9328
850	383392.5598
851	382808.442
852	382727.4695
853	382556.9423
854	382432.6466
855	382305.2844
856	382093.8426
857	381671.5645
858	381498.1468
859	381242.4233
860	380793.6536
861	380774.8102
862	380266.5311
863	380013.0194
864	379958.4627
865	379876.4799
866	379593.7983
867	379436.1466
868	379350.2472
869	379032.3871
870	378594.7502
871	378473.5129
872	378331.977
873	377912.6027
874	377642.5557
875	377436.0196
876	377166.5562
877	376658.9018
878	376353.9683
879	376108.8021
880	375990.9283
881	375448.8696
882	375197.1712
883	375135.4669
884	375121.2971
885	375025.2777
886	374348.672
887	374335.3675
888	374026.911
889	373976.3634
890	373727.1157
891	373151.271
892	372857.0509
893	372675.9455
894	372384.1803
895	372283.8574
896	371855.1407
897	371800.7423
898	371663.4001
899	371496.6675
900	371174.993
901	371069.8055
902	370725.7877
903	370447.6289
904	370338.8895
905	370156.6695
906	370097.0709
907	370083.4211
908	369532.8133
909	369291.1017
910	368960.3798
911	368795.3421
912	368621.7858
913	368560.6972
914	368137.5829
915	367882.405
916	367742.2831
917	367732.7333
918	367267.3132
919	366914.3553
920	366630.0814
921	366514.024
922	366357.2913
923	366335.9699
924	365892.5723
925	365627.1312
926	365607.7749
927	365308.0556
928	365054.2689
929	364963.4165
930	364585.4433
931	364341.1157
932	364331.8345
933	364263.0934
934	363933.5662
935	363615.6674
936	363470.6003
937	363368.2403
938	363361.3249
939	363121.5648
940	362877.0642
941	362635.1683
942	362166.9435
943	362020.8338
944	361885.6043
945	361697.5748
946	361340.1421
947	361330.4105
948	360855.3711
949	360668.9398
950	360502.3895
951	360490.7507
952	360309.3342
953	360020.1873
954	359798.9869
955	359425.326
956	359416.2931
957	358910.4897
958	358902.9119
959	358679.9053
960	358465.4327
961	358458.587
962	358250.1277
963	358091.1202
964	358061.6132
965	357852.628
966	357843.9342
967	357425.3604
968	357206.325
969	357070.3379
970	357023.7945
971	356770.6907
972	356663.2095
973	356592.0912
974	356395.3851
975	355898.8726
976	355664.1166
977	354895.0063
978	354757.118
979	354661.6776
980	354513.7384
981	354446.0731
982	354237.1955
983	353905.451
984	353532.7693
985	353525.2296
986	353517.0448
987	353368.7116
988	353230.8719
989	353117.3361
990	353042.2606
991	352770.9527
992	352612.6094
993	352549.1617
994	352357.1765
995	352271.6694
996	351922.2646
997	351479.1586
998	351294.0486
999	351160.1829
